"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL7A",1.01974621012552e-254,1.01815241478186,0.999,0.994,3.8401602780907e-250
"RPS2",1.04562449500209e-228,1.06591173007652,1,0.994,3.93761272327886e-224
"RARRES2",3.44790006662047e-199,4.33308686103887,0.417,0.028,1.29841020708794e-194
"MGST1",7.02698650310523e-169,2.8931596620085,0.503,0.088,2.64622257733937e-164
"RAC3",2.33717205449697e-163,2.00826257693298,0.767,0.33,8.80132252282467e-159
"RPL5",1.02575484302797e-151,0.785733648832965,0.997,0.993,3.86278758787473e-147
"AQP3",6.31473785888328e-142,-3.57844944073393,0.278,0.7,2.37800398289826e-137
"RPL12",2.01866690969352e-140,0.87430811537899,0.997,0.996,7.60189584852386e-136
"UGT2A1",7.84541826797284e-140,5.09476795325213,0.263,0.007,2.95442761135321e-135
"RPL35",2.91524270168067e-130,0.632858823988177,0.998,0.983,1.09782209659891e-125
"SAT1",1.0080574448501e-125,-2.07883868377289,0.692,0.914,3.79614272581649e-121
"SSFA2",3.39326203160036e-124,2.12568766204626,0.68,0.316,1.27783461586006e-119
"NBEAL1",6.55288489668704e-123,1.16773258362233,0.919,0.747,2.4676853943944e-118
"RPL36",2.19392076507522e-119,0.651537740463265,0.999,0.998,8.26186681712026e-115
"APOE",1.04886435924167e-118,1.36600991019995,0.873,0.535,3.9498134040323e-114
"RPL23",1.41231597819581e-115,0.77545143033822,0.982,0.957,5.31849951068979e-111
"SOSTDC1",1.26405385526048e-112,3.23701994440822,0.429,0.107,4.7601740081399e-108
"SLPI",6.15539334619912e-110,-4.27390395439503,0.081,0.488,2.31799802631166e-105
"CALD1",4.72995763203748e-109,1.35837601147993,0.88,0.58,1.78120744507267e-104
"DIO2",1.31345077169513e-106,2.36155797655478,0.373,0.073,4.94619291604951e-102
"LMO3",2.39642493276594e-105,6.79029325728753,0.186,0.002,9.02445701180996e-101
"RPS15A",5.19027104612185e-103,0.593048240907748,1,0.999,1.95455227054857e-98
"TFRC",2.24053702588607e-101,-1.89531962712451,0.454,0.772,8.43741433208175e-97
"RPS15",1.81584852567575e-100,0.55387419247679,0.998,0.998,6.83812237798976e-96
"RPL41",1.43765333835274e-99,0.597162802432685,1,1,5.41391494156875e-95
"RPL34",1.92702027870671e-98,0.589195351610629,0.999,0.999,7.25677296555372e-94
"PLAU",1.46227734147523e-97,-2.94260819218042,0.261,0.613,5.50664401252742e-93
"BNC2",2.34051411381104e-94,1.4126643848053,0.663,0.286,8.81390804978961e-90
"CDKN1A",1.42073372043704e-91,-1.63236137365597,0.752,0.883,5.35019904442181e-87
"NEAT1",4.31104162098184e-89,-1.92664459664076,0.536,0.766,1.62345205362934e-84
"HLA-B",4.50560398898233e-89,-0.971001793224709,0.889,0.975,1.69672035017097e-84
"ITM2A",1.78092440235921e-87,2.27234266572257,0.294,0.052,6.70660511440431e-83
"RPL32",4.64237079133316e-87,0.476161944834121,1,1,1.74822399260024e-82
"FHL1",6.73759547305574e-86,3.47886998881486,0.225,0.024,2.53724370324333e-81
"SNHG7",1.00137103439812e-85,1.37826926363059,0.735,0.424,3.77096304133646e-81
"S100A8",3.57791204445948e-85,-2.4669350871107,0.239,0.593,1.34737011770255e-80
"RPL27",6.96396703709236e-85,0.553826751797888,0.992,0.984,2.62249070682824e-80
