"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKV4-1",3.58284598782819e-139,-2.60618141096418,0.019,0.153,1.34922814209634e-134
"IGF2",2.7817523532001e-127,1.67757583676726,0.233,0.049,1.04755230116809e-122
"IGKV3-20",3.06471522956786e-120,-1.66662745845387,0.028,0.165,1.15411046115066e-115
"IFI27",1.78097511568085e-113,-1.45400094975834,0.119,0.298,6.70679609063094e-109
"IGKC",5.23525951335257e-105,-1.63872137282278,0.047,0.179,1.97149402753831e-100
"RPLP1",2.11936673223761e-93,0.677074673454301,0.986,0.971,7.98111124026041e-89
"IGKV1-5",8.28185145906743e-89,-1.88125852323952,0.013,0.106,3.11877962245561e-84
"HBB",5.36122884758883e-84,-4.50747047146106,0.016,0.111,2.018931559425e-79
"IGLV2-14",4.74486049912801e-82,-1.01382449357548,0.018,0.114,1.78681956676163e-77
"RPS4X",1.45440809724709e-79,0.420408522286198,0.945,0.89,5.47701001261308e-75
"IGHA1",1.59514517529228e-77,-3.25418554283158,0.017,0.098,6.00699770111566e-73
"CHGB",1.02706390408787e-69,3.58988416893921,0.125,0.03,3.86771725001411e-65
"IGLV3-21",1.15927682400514e-69,-0.418123884450241,0.01,0.081,4.36560466383854e-65
"RPL3",1.99572146832335e-69,0.430498269444517,0.928,0.855,7.51548790541209e-65
"IGHV3-23",7.91474542033136e-67,-1.31751252788005,0.014,0.097,2.98053483038838e-62
"SERPINA1",4.10893693638462e-65,1.50974482680705,0.315,0.178,1.54734347150372e-60
"RPL4",5.92671935107799e-65,0.691677365075437,0.809,0.686,2.23188397322895e-60
"IGLV2-23",3.52615551346546e-63,-2.62153324456291,0.008,0.073,1.32787964326082e-58
"MT-ND2",8.06273243953781e-63,-0.547574300025254,0.71,0.773,3.03626378208115e-58
"HLA-B",8.80387152923842e-62,-0.752964779073411,0.57,0.691,3.3153619404806e-57
"IGHV5-51",8.89840657986995e-61,-1.60704781089406,0.006,0.068,3.35096194984743e-56
"JCHAIN",1.23001922471343e-60,-2.28790355257469,0.014,0.09,4.63200639642584e-56
"TAT",1.72358679616611e-59,2.96945639990656,0.111,0.03,6.49068315700235e-55
"CD74",2.34428018663922e-59,-0.428800539487615,0.408,0.547,8.82809032684598e-55
"MSLN",5.7056428180382e-59,-2.51584193795856,0.018,0.088,2.14863097241683e-54
"MGP",1.98343603882965e-57,0.556129363541542,0.718,0.564,7.46922343502468e-53
"IGLV1-40",2.52309096297386e-56,-0.908439717178113,0.014,0.081,9.50145594836697e-52
"TMSB4X",8.23855394292895e-55,-0.715210016166572,0.714,0.773,3.10247464382819e-50
"FN1",2.63468158378988e-53,-1.78840647107858,0.132,0.247,9.92168390823594e-49
"RPLP0",5.66713577781833e-53,0.416942072771739,0.951,0.887,2.13412999121083e-48
"RPL13",1.88285535251048e-51,0.365492351060043,0.968,0.933,7.09045668648395e-47
"EEF1A1",2.3477511620472e-51,0.296032389655238,0.988,0.973,8.84116132603733e-47
"IGLV1-51",3.32621606632814e-51,-1.12673905105798,0.016,0.08,1.25258644625785e-46
"CXCL14",1.92834418890254e-50,-1.86944381868515,0.102,0.206,7.2617585465692e-46
"COL1A2",2.86899873306442e-50,-2.21116503531354,0.089,0.183,1.0804075428974e-45
"MT-ND3",5.21940843507939e-48,-0.380805933350745,0.833,0.874,1.9655248284822e-43
"RPS14",3.63909271548398e-47,0.294529872743098,0.923,0.862,1.37040953479696e-42
"RPL5",9.01838319918211e-47,0.386442108322006,0.86,0.776,3.396142745148e-42
"RPL6",1.22470438289826e-46,0.370584822183436,0.883,0.811,4.61199176511828e-42
"FRZB",1.35450202966747e-46,3.43223936797973,0.108,0.033,5.10078374332174e-42
"TFF3",1.35667468155789e-46,1.13581976043795,0.397,0.284,5.1089655158107e-42
"MT-CYB",7.13987695343985e-46,-0.372134323068755,0.849,0.88,2.68873486312638e-41
"PPIB",9.51199301469544e-45,0.728135181287076,0.668,0.576,3.58202632947401e-40
"RPL29",1.26527429992155e-44,0.302954205548546,0.911,0.839,4.76476995864458e-40
"IGLV2-8",3.66787447400577e-44,-1.3744632648663,0.005,0.056,1.38124816942109e-39
"RPL11",2.65678863183871e-43,0.296522068516236,0.946,0.888,1.00049346297782e-38
"VSTM2A",1.02155053705784e-42,-3.29800725402825,0.01,0.055,3.8469550124524e-38
"RHOBTB3",1.87304555968042e-42,1.68831549117798,0.285,0.181,7.05351496864454e-38
"C2orf40",2.78116866761329e-42,2.72236882618164,0.139,0.05,1.04733249684981e-37
"SOD3",4.80912773339129e-42,1.80409267965943,0.207,0.106,1.81102132184049e-37
"SEC14L2",8.88431291337243e-42,1.47682539909029,0.189,0.108,3.34565455691779e-37
"TFF1",2.82967169361403e-41,1.2671419321882,0.259,0.158,1.06559776638117e-36
"IGHG1",8.35141271754056e-41,-2.0064308251875,0.038,0.109,3.14497500117142e-36
