"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYP17A1",3.8821201455105e-254,-4.45247311073995,0.017,0.731,1.46192880439634e-249
"ACSM2A",4.49373340618601e-248,-4.82862163705307,0.043,0.807,1.69225012610153e-243
"TAT",1.74465781240928e-241,-4.59985715822973,0.043,0.8,6.57003238997088e-237
"MRC1",2.47945611017654e-240,-5.75935930558589,0.005,0.625,9.33713581970281e-236
"SLC17A4",1.70086830994249e-229,-3.90513151192576,0.059,0.836,6.40512988158142e-225
"HRG",3.28173807221466e-225,-4.20291669183959,0.063,0.825,1.2358369232346e-220
"ACSM2B",2.23288813017537e-224,-4.49503048181918,0.056,0.8,8.40861012061442e-220
"ZBTB16",5.15602489943309e-224,-4.37029059315716,0.021,0.676,1.94165585662851e-219
"SLC22A1",4.43779628459167e-219,-3.71255931611376,0.041,0.767,1.67118532485153e-214
"IGSF23",6.04935071070592e-218,-4.59204488538403,0.027,0.687,2.27806449063763e-213
"HSD17B13",6.1583877721346e-214,-4.4543559283539,0.029,0.684,2.31912566723045e-209
"FAM99A",4.9091006960664e-211,-4.24997614510517,0.034,0.702,1.84866914012468e-206
"SDS",2.54735509391107e-210,-4.05657833812332,0.059,0.782,9.59282981265029e-206
"GLYATL1",1.00215069183117e-208,-4.23167759570281,0.028,0.673,3.77389907529783e-204
"ALDOB",1.86612507950594e-208,-4.28027128501574,0.084,0.836,7.02745382440347e-204
"LINC01554",2.04055320672666e-208,-4.43011030397152,0.009,0.582,7.68431526589126e-204
"CYP4A11",4.39312874139647e-202,-3.9657568294479,0.027,0.658,1.65436442143508e-197
"ANGPTL3",6.98032192549655e-202,-3.5309903336449,0.075,0.822,2.62864963070349e-197
"LINC01485",1.15554635438077e-201,-4.13135788918478,0.051,0.735,4.35155646132712e-197
"GPLD1",2.9870864328994e-196,-4.2405640661796,0.023,0.618,1.12487700890125e-191
"HGFAC",1.01384793340787e-195,-3.80376217211062,0.02,0.611,3.81794854762736e-191
"FTCD",3.66740125095386e-195,-3.78175990864733,0.055,0.738,1.3810699630842e-190
"CYP2A7",3.9258930981976e-191,-3.21604986525411,0.033,0.673,1.47841282291925e-186
"SLC10A1",6.51607710628203e-188,-4.07903910826193,0.024,0.604,2.45382431668369e-183
"RP11-115C10.1",4.83602351143517e-186,-3.32880596851659,0.022,0.604,1.82114973393626e-181
"LINC00844",2.08701438445959e-183,-3.4504702960325,0.037,0.665,7.85927876899793e-179
"SERPINC1",2.32460802243153e-181,-3.42716373887711,0.098,0.825,8.75400889087266e-177
"CYP2D6",3.49623642279148e-177,-3.83116489354284,0.086,0.767,1.31661271209482e-172
"CYP2A6",3.96025871720966e-176,-3.54880316037067,0.04,0.658,1.49135422772681e-171
"MASP2",2.34796289386875e-175,-3.00614480228793,0.066,0.745,8.84195866573094e-171
"CD14",2.66781587390922e-175,-3.65626312974891,0.072,0.738,1.00464610179674e-170
"PRODH2",8.89726494251105e-175,-3.79089644190499,0.029,0.589,3.35053203205081e-170
"MLIP",2.1728783868358e-173,-4.06263267295013,0.031,0.6,8.18262542914627e-169
"ITIH1",4.29052261836622e-169,-3.55408645194443,0.107,0.789,1.61572500762435e-164
"HPD",1.55504001702915e-168,-2.30314149755557,0.071,0.764,5.85596969612838e-164
"HFE2",2.26104832314109e-168,-3.61082846369537,0.042,0.633,8.51465577528472e-164
"G6PC",4.57359365450019e-168,-3.63590218299889,0.036,0.611,1.72232389841168e-163
"HSD17B6",5.57276184210493e-168,-2.86434643738391,0.085,0.785,2.09859065449987e-163
"ADH1B",2.61813409646367e-167,-2.85256034175322,0.065,0.727,9.85936938046287e-163
"ANXA10",2.44423953811369e-166,-3.82381243630541,0.027,0.567,9.20451725262852e-162
"AGXT",2.04448983479457e-165,-3.42192672375632,0.131,0.829,7.6991398198694e-161
"PCK1",6.4646539021334e-163,-3.7083687215686,0.049,0.644,2.4344593664654e-158
"SLC38A3",5.15778130467026e-162,-3.24262635729574,0.066,0.698,1.94231728371273e-157
"CYP8B1",1.63735741122386e-160,-3.98526780388387,0.025,0.545,6.16596053918682e-156
"NR1I3",1.6026423197126e-159,-3.89307052587618,0.017,0.509,6.03523044757372e-155
"PIGR",9.00110730553734e-158,-3.1617263675287,0.04,0.611,3.38963698911925e-153
"SERPINA4",2.55592605437207e-156,-3.21453882348299,0.165,0.855,9.62510633555435e-152
"A1BG",8.49218313457889e-156,-3.4658678487488,0.139,0.815,3.19798632481972e-151
"ACOT12",1.32945510343197e-155,-5.03908900100575,0.013,0.473,5.0064620285041e-151
"HMGCS2",2.33201031112245e-155,-2.78155622438318,0.15,0.876,8.78188442962494e-151
"IGF2",5.87256429576499e-155,-3.47928063759647,0.108,0.782,2.21149026249918e-150
"APOA5",2.91171095566218e-154,-3.18039859063661,0.067,0.68,1.09649211168326e-149
"SLC22A7",1.17239340063719e-153,-3.15105582516801,0.062,0.669,4.41499906811953e-149
