"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PFN1",6.17504923295059e-172,1.58775904484384,0.99,0.916,2.32540004014453e-167,"PFN1"
"SERPINE2",4.50515236663839e-162,-2.90263766745249,0.656,0.935,1.69655027822868e-157,"SERPINE2"
"MT2A",3.24809081203831e-152,-3.28780631049626,0.708,0.911,1.22316603799739e-147,"MT2A"
"MIA",9.39476237131167e-145,-3.77421020781742,0.365,0.825,3.53787961378855e-140,"MIA"
"S100A6",4.45356460148925e-143,-2.71198934056696,0.702,0.935,1.67712335762882e-138,"S100A6"
"CTSB",9.56673646803313e-143,-3.03462050827784,0.963,0.972,3.60264161913192e-138,"CTSB"
"EMP1",1.74607412502356e-142,-4.90811450529024,0.172,0.712,6.57536594001372e-138,"EMP1"
"SERPINF1",1.6101786709835e-123,2.71756176918772,0.719,0.205,6.06361083918967e-119,"SERPINF1"
"TM4SF1",9.84985255157754e-122,-7.41200418826912,0.03,0.537,3.70925747387307e-117,"TM4SF1"
"TSC22D3",1.07049941079842e-121,-3.03976997003595,0.293,0.754,4.03128668118471e-117,"TSC22D3"
"ANXA1",2.20083624309492e-120,-1.83163281205758,0.213,0.776,8.28790912424684e-116,"ANXA1"
"ATP1A1",2.91298948128531e-119,-2.01502239901428,0.766,0.921,1.09697357886242e-114,"ATP1A1"
"EIF4A1",3.34513672410859e-116,1.21183924670915,0.984,0.898,1.25971158756481e-111,"EIF4A1"
"CD59",2.47122470905948e-115,-1.70171291023869,0.787,0.934,9.30613800937619e-111,"CD59"
"MAGEA4",1.54369826194035e-114,4.01179220848066,0.549,0.097,5.81325891481499e-110,"MAGEA4"
"CDH19",2.61107904457971e-111,-3.68176483976076,0.324,0.727,9.83280146607827e-107,"CDH19"
"APOC2",1.71832283115754e-107,-5.30520444817931,0.04,0.511,6.47086011757308e-103,"APOC2"
"C1QBP",3.94236351384782e-107,1.65792877766064,0.911,0.608,1.48461525204481e-102,"C1QBP"
"RPS19",8.92864289685178e-107,0.87411716233855,0.995,0.971,3.36234834209644e-102,"RPS19"
"RPS24",1.79005896787915e-105,1.44690265054767,0.99,0.977,6.74100406123932e-101,"RPS24"
"TP53",5.99378376393849e-105,2.46808625626309,0.752,0.297,2.25713908982396e-100,"TP53"
"C17orf76-AS1",7.38111152501705e-104,1.43955379246194,0.98,0.927,2.77957897809092e-99,"C17orf76-AS1"
"SERPINA3",6.09721293465277e-102,-2.84251595147737,0.08,0.556,2.29608844693154e-97,"SERPINA3"
"IGF2BP1",1.01547721480642e-100,4.66558544784778,0.395,0.023,3.824084095518e-96,"IGF2BP1"
"RPLP0",1.26038087806657e-100,1.13741157992134,0.998,0.997,4.74634231062309e-96,"RPLP0"
"ITGA3",1.32643718854605e-100,-5.31134443612235,0.096,0.542,4.99509716462673e-96,"ITGA3"
"A2M",6.04101066927557e-100,-3.19757457160812,0.352,0.75,2.27492379783579e-95,"A2M"
"RPL28",6.35332627150765e-99,1.06357672981523,0.994,0.974,2.39253560732435e-94,"RPL28"
"RPL13AP5",2.13929317142656e-97,0.978013608964138,0.993,0.947,8.05615022495813e-93,"RPL13AP5"
"PTP4A3",2.03642484797867e-96,1.87426394942622,0.522,0.08,7.66876869251806e-92,"PTP4A3"
"RPS7",8.53506317839033e-93,0.943887159712923,0.994,0.984,3.21413409171823e-88,"RPS7"
"RPL18",2.09753643142002e-91,1.07670867606822,0.973,0.948,7.89890269344149e-87,"RPL18"
"CTSD",8.82693431585993e-90,-1.99128087189802,0.819,0.935,3.32404692466653e-85,"CTSD"
"PABPC1",8.91989429351548e-90,0.978136591454885,0.996,0.99,3.35905379305206e-85,"PABPC1"
"GABARAP",1.43464041801599e-89,1.16730956239606,0.949,0.868,5.4025688861646e-85,"GABARAP"
"AHNAK",5.77362256440745e-89,-2.37174372368137,0.45,0.783,2.17423078530456e-84,"AHNAK"
"NSG1",1.83300147835089e-88,-2.42949780304374,0.4,0.728,6.90271696717379e-84,"NSG1"
"UBC",7.83262652661514e-87,-1.23725479576167,0.976,0.987,2.94961049739273e-82,"UBC"
"SLC5A3",1.76667290118516e-86,-3.62747157256445,0.3,0.665,6.65293681128308e-82,"SLC5A3"
"RPS5",1.01977486873695e-85,1.1213893745954,0.99,0.959,3.8402682006896e-81,"RPS5"
"MID1",2.04786162444417e-85,2.98366575922527,0.459,0.079,7.71183730533186e-81,"MID1"
"CST3",1.0642277916204e-83,-2.07146416640885,0.7,0.861,4.0076690176841e-79,"CST3"
"RPL6",1.6296765183855e-83,1.05558111427114,0.993,0.991,6.13703583293611e-79,"RPL6"
"CSPG4",9.52435347141776e-83,-2.10706683455668,0.431,0.78,3.5866810302665e-78,"CSPG4"
"LGALS3",1.0713440442903e-82,-1.52040351902145,0.49,0.868,4.03446740198841e-78,"LGALS3"
"CAV1",4.83714744985015e-82,-1.62972610729494,0.464,0.817,1.82157298666457e-77,"CAV1"
"RPL26",8.66765784767544e-82,1.22871874974617,0.986,0.982,3.26406659227762e-77,"RPL26"
"RPS27",1.61791768420375e-81,1.04060687323908,0.996,0.996,6.09275441517449e-77,"RPS27"
"EIF4EBP2",2.30863296331666e-81,1.67011326817204,0.882,0.56,8.69385001325787e-77,"EIF4EBP2"
