"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGF2",1.35244174551221e-120,1.65621473137861,0.216,0.05,5.09302512524986e-116
"IGKV4-1",8.44331193566614e-114,-2.61161885126963,0.017,0.139,3.17958240873315e-109
"IGKV3-20",2.71975320365196e-111,-1.67272625869731,0.026,0.15,1.02420466143126e-106
"IFI27",1.01720439247185e-97,-1.26608838540268,0.149,0.313,3.83058830117051e-93
"RPLP1",3.97351381226634e-86,0.623746975704854,0.987,0.974,1.49634583142326e-81
"HLA-B",1.68049544921841e-79,-0.778316308789572,0.599,0.716,6.32840976266669e-75
"IGHV3-23",8.55688317721055e-77,-1.3235550058351,0.012,0.087,3.22235106687395e-72
"IGKV1-5",2.8870911489734e-76,-1.88658140043507,0.013,0.096,1.0872207848804e-71
"RPL3",2.10295295333832e-73,0.399395383869961,0.935,0.869,7.91930023168143e-69
"SERPINA1",1.2462790329359e-71,1.77764236899127,0.327,0.178,4.69323758223e-67
"CHGB",3.45962479219374e-70,3.57800526065681,0.114,0.029,1.30282550424432e-65
"IGKC",2.17125560540342e-69,-1.48782230758306,0.059,0.168,8.17651435882821e-65
"RPL4",1.36792913002382e-66,0.592925016866035,0.824,0.716,5.1513475178437e-62
"RPS4X",1.18528615652011e-65,0.364488277240008,0.949,0.901,4.46355060822341e-61
"IGLV2-14",6.80719306176174e-65,-1.01881887319357,0.017,0.102,2.56345276319824e-60
"RPS14",4.62403761449351e-62,0.300574069241778,0.931,0.876,1.74132008486597e-57
"IGLV2-23",5.48373800101996e-59,-2.62633689546543,0.008,0.066,2.0650660564241e-54
"IGLV1-51",2.49198722451984e-56,-1.13284755967206,0.014,0.072,9.3843254900968e-52
"IGLV3-21",1.89387198958837e-55,-0.424588254795937,0.01,0.074,7.13194313839187e-51
"MT-ND2",2.40354788558185e-55,-0.40518965534983,0.712,0.763,9.05128062752411e-51
"RPL13",6.39627818863335e-55,0.356302674936488,0.971,0.94,2.40871044027555e-50
"RPL5",2.12321848066007e-54,0.375565429981244,0.871,0.798,7.99561615446969e-50
"IGHV5-51",4.77453117156916e-54,-1.61378606441235,0.006,0.062,1.79799294858951e-49
"JCHAIN",8.53827113571825e-54,-2.23401524520471,0.015,0.081,3.21534214428878e-49
"IGHA1",1.85336405311621e-52,-3.07430752319165,0.02,0.09,6.97939835122504e-48
"RPL6",1.98787146495555e-51,0.345448350470391,0.893,0.829,7.48592636272959e-47
"COL1A2",1.59538275127892e-47,-2.18787699807954,0.088,0.173,6.00789236476615e-43
"RPLP0",3.88829830667679e-47,0.359350156370298,0.955,0.898,1.46425537632834e-42
"RPL12",6.73782915972059e-47,0.313843700744679,0.942,0.898,2.53733170496758e-42
"IGLV1-40",6.88097760258368e-47,-0.913846016925953,0.013,0.073,2.59123854558096e-42
"RPL7",1.15867700058935e-46,0.438861202595739,0.845,0.762,4.36334584881938e-42
"CXCL14",1.61964029876588e-46,-1.85355632775387,0.111,0.215,6.09924143709255e-42
"MT-CYB",1.70622479356276e-45,-0.391847242986403,0.836,0.858,6.42530132759863e-41
"TAT",3.71347890947205e-45,2.6361585122448,0.116,0.041,1.39842188772899e-40
"C2orf40",1.12494337592766e-44,2.7130937414586,0.125,0.046,4.2363117650684e-40
"TFF1",2.61314915928684e-44,1.28223131647643,0.241,0.143,9.84059710404239e-40
"IGKV3-15",2.62367465129761e-44,-0.796852900356651,0.013,0.055,9.88023400185654e-40
"TFF3",3.03930710569117e-44,1.13290345933074,0.364,0.257,1.14454226986118e-39
"RPS27L",9.95045045021403e-44,0.587761324057532,0.553,0.469,3.7471406305416e-39
"RPL26",2.84896566470769e-43,0.366865696490049,0.753,0.679,1.07286349001562e-38
"MGP",4.72463062727104e-43,0.546128517740256,0.662,0.537,1.77920140161773e-38
"RPL37A",6.55006156422183e-43,0.371525320541851,0.906,0.848,2.46662218385466e-38
"AC083841.1",1.14596155760502e-42,4.57829920276212,0.063,0.013,4.31546203362897e-38
"RPS18",1.90415125187071e-42,0.274756550149741,0.96,0.928,7.17065278429471e-38
"IGLV2-8",2.98386215208583e-42,-1.37791853525439,0.005,0.051,1.12366280923248e-37
"IGLV3-25",5.09945334654707e-42,-1.84523382515047,0.013,0.06,1.92035214124269e-37
"FRZB",5.20901466805448e-42,3.16518623798566,0.11,0.04,1.96161074369596e-37
"PHGR1",6.05552618071845e-42,1.56232268712719,0.179,0.093,2.28039004913495e-37
"HLA-C",5.09629281850819e-41,-0.59696348821732,0.649,0.715,1.91916194959382e-36
"MDK",6.81735692345221e-41,0.66944280582104,0.513,0.401,2.56728027023363e-36
"COL1A1",7.69519130980679e-41,-2.12084549384367,0.118,0.208,2.89785514344704e-36
"SLC25A6",3.30290572726492e-40,0.454692667653963,0.707,0.617,1.24380823877342e-35
"MT-ND3",5.11039646328926e-40,-0.370945623111637,0.819,0.852,1.92447310014547e-35
"ISG15",2.46735716710725e-39,-1.4029604596187,0.204,0.296,9.2915736198925e-35
"VSTM2A",1.0887916897362e-38,-3.32633450755875,0.009,0.052,4.1001717452086e-34
"IGHV3-30",8.39910801857101e-38,-2.04494842043988,0.005,0.039,3.16293609763347e-33
"RPL29",1.60479293790471e-37,0.279381301827936,0.918,0.854,6.04332924556155e-33
"PPIB",3.61766225508893e-37,0.694405693096955,0.684,0.604,1.36233925202139e-32
"RPS5",5.09888482155427e-37,0.286279538931224,0.887,0.814,1.92013804610091e-32
"ERRFI1",7.46078675933693e-37,1.04551974533011,0.312,0.237,2.8095830778311e-32
"EEF2",1.22957717368792e-36,0.315343159728701,0.817,0.726,4.63034172067397e-32
"FN1",1.28992576127391e-36,-1.65729715478724,0.156,0.249,4.85760243180528e-32
"RPL7A",3.05407939102523e-36,0.277515536641134,0.914,0.865,1.15010521707228e-31
"CRABP1",3.62316707940143e-36,1.89999456518283,0.268,0.168,1.36441225876099e-31
"B2M",6.3712097323445e-36,-0.341545314319176,0.781,0.845,2.39927016100629e-31
"IGHG1",1.93314717569157e-35,-1.98311831167206,0.041,0.1,7.27984563421932e-31
"CD74",2.90015297567765e-35,-0.423175861755438,0.407,0.52,1.09213960758069e-30
"RPL11",7.50600204382968e-35,0.272125971671141,0.951,0.899,2.82661024966538e-30
"RPL8",6.31006913501281e-34,0.494161166846546,0.966,0.933,2.37624583486312e-29
"MT-CO2",8.18627793875669e-34,-0.310766380697562,0.914,0.913,3.082788546177e-29
"COL3A1",1.29530707409948e-33,-2.00869822195785,0.066,0.13,4.87786737964382e-29
"RHOBTB3",1.34657399949501e-33,1.65032136562565,0.289,0.188,5.07092836729832e-29
"HLA-A",1.762026178666e-33,-0.653665640162469,0.584,0.654,6.63543818362043e-29
"LUM",2.64832623964396e-33,-2.71949708141194,0.028,0.076,9.97306695325122e-29
"RPL23A",9.20592931507371e-33,0.255695477620995,0.895,0.831,3.46676886147046e-28
"IFITM1",1.58825145164041e-32,-0.642671488844834,0.334,0.432,5.98103731658744e-28
"SPARC",1.61872991718167e-32,-1.41510984673335,0.147,0.225,6.09581312212274e-28
"MT-ATP6",3.36768119407789e-32,-0.327256200899527,0.849,0.869,1.26820138406585e-27
