"","Direction","avg_log2FC","p_val_adj"
"IGF2","Up_in_Post",1.65621473137861,5.09302512524986e-116
"RPLP1","Up_in_Post",0.623746975704854,1.49634583142326e-81
"RPL3","Up_in_Post",0.399395383869961,7.91930023168143e-69
"SERPINA1","Up_in_Post",1.77764236899127,4.69323758223e-67
"CHGB","Up_in_Post",3.57800526065681,1.30282550424432e-65
"RPL4","Up_in_Post",0.592925016866035,5.1513475178437e-62
"RPS4X","Up_in_Post",0.364488277240008,4.46355060822341e-61
"RPS14","Up_in_Post",0.300574069241778,1.74132008486597e-57
"RPL13","Up_in_Post",0.356302674936488,2.40871044027555e-50
"RPL5","Up_in_Post",0.375565429981244,7.99561615446969e-50
"IGKV4-1","Down_in_Post",-2.61161885126963,3.17958240873315e-109
"IGKV3-20","Down_in_Post",-1.67272625869731,1.02420466143126e-106
"IFI27","Down_in_Post",-1.26608838540268,3.83058830117051e-93
"HLA-B","Down_in_Post",-0.778316308789572,6.32840976266669e-75
"IGHV3-23","Down_in_Post",-1.3235550058351,3.22235106687395e-72
"IGKV1-5","Down_in_Post",-1.88658140043507,1.0872207848804e-71
"IGKC","Down_in_Post",-1.48782230758306,8.17651435882821e-65
"IGLV2-14","Down_in_Post",-1.01881887319357,2.56345276319824e-60
"IGLV2-23","Down_in_Post",-2.62633689546543,2.0650660564241e-54
"IGLV1-51","Down_in_Post",-1.13284755967206,9.3843254900968e-52
