"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL7A",2.04826185453821e-241,0.994760075971774,0.999,0.994,4.77429355674312e-237
"RPS2",1.88416531746655e-221,1.05189208540718,1,0.994,4.39180093848279e-217
"RARRES2",2.31135222803378e-189,4.17675412121319,0.416,0.032,5.38753090832393e-185
"RAC3",3.76079675963592e-164,2.00196366203316,0.771,0.327,8.76604116703536e-160
"MGST1",1.42301700272655e-157,2.70114826940515,0.501,0.094,3.31691033165533e-153
"RPL5",6.33935397381051e-147,0.776758486112846,0.997,0.992,1.47764001775549e-142
"AQP3",1.1485641367473e-140,-3.65779517938206,0.269,0.691,2.67718814634428e-136
"UGT2A1",9.22289536961991e-138,5.1558154855555,0.263,0.007,2.1497646817047e-133
"RPL12",7.48008269645739e-135,0.86281085360214,0.997,0.996,1.74353247571725e-130
"SAT1",1.16370927863194e-123,-2.0840004211466,0.688,0.912,2.71248995756318e-119
"RPL35",1.66665544912174e-120,0.60429980956093,0.998,0.983,3.88480718635786e-116
"APOE",3.07634524030003e-120,1.39010080395401,0.873,0.531,7.17065312061534e-116
"SSFA2",4.21615414104755e-120,2.08069382198831,0.678,0.317,9.82743368736774e-116
"NBEAL1",3.05757453939144e-118,1.13016386369411,0.92,0.745,7.12690049386752e-114
"RPL36",4.8335366846873e-115,0.638734247727083,0.999,0.998,1.12664906583376e-110
"RPL23",5.9756553042738e-111,0.763740360842135,0.981,0.959,1.39286549487318e-106
"SOSTDC1",1.52103501231177e-110,3.23416784844685,0.431,0.11,3.54538051019751e-106
"CALD1",1.47578467395486e-109,1.3720030418414,0.878,0.577,3.43990649652137e-105
"SLPI",1.53480114909713e-108,-4.31729506801242,0.078,0.484,3.5774679984305e-104
"DIO2",5.65287823663933e-105,2.33274638368642,0.371,0.073,1.31762938817826e-100
"RPS15A",4.49558316701511e-101,0.591158318414967,1,0.999,1.04787548039955e-96
"RPS15",2.57765301600056e-98,0.551354372182085,0.999,0.998,6.00825141499571e-94
"BNC2",4.58776711454135e-98,1.43837574389615,0.667,0.277,1.06936263672844e-93
"LMO3",5.78678104113393e-98,4.99309518612838,0.185,0.004,1.34884079287791e-93
"PLAU",6.43997074558123e-98,-3.04765257145843,0.253,0.608,1.50109278108753e-93
"RPL34",1.34053818438538e-96,0.58875379685405,0.999,0.999,3.12466045398388e-92
"TFRC",1.56582167856657e-96,-1.87894436315701,0.451,0.764,3.64977375057082e-92
"RPL41",5.38930372457472e-93,0.571058994638356,1,1,1.25619280516112e-88
"CDKN1A",2.8798771638093e-91,-1.65601720343918,0.751,0.879,6.71270568112309e-87
"NEAT1",3.15662575456759e-87,-1.9762219286852,0.531,0.758,7.35777897132159e-83
"HLA-B",5.22708363372224e-86,-0.977937924751827,0.888,0.973,1.21838092418432e-81
"RPL32",7.91695048626779e-85,0.474443561120905,1,0.999,1.84536198884416e-80
"SNHG7",9.33046263135614e-84,1.3589484576683,0.734,0.422,2.1748375347428e-79
"RPL27",3.01960842014978e-83,0.552360720031376,0.992,0.984,7.03840526652713e-79
"RPS24",2.73252995098951e-82,0.487604159173761,0.999,0.999,6.36925406276146e-78
"S100A8",1.29543630566942e-81,-2.45392949802655,0.236,0.583,3.01953248488485e-77
"GNAS",5.49650797024406e-81,1.16398698872014,0.881,0.715,1.28118104278419e-76
"MT-CYB",9.66542912433835e-81,-0.918097742336806,0.957,0.909,2.25291487459203e-76
"SULT1E1",1.29452517477719e-80,2.46948045657254,0.3,0.06,3.01740872988814e-76
"ITM2A",1.43494541708114e-80,2.14513214765687,0.293,0.056,3.34471427267444e-76
"ABI3BP",3.33686441344631e-80,1.94370238299513,0.451,0.153,7.777897261302e-76
"RPS8",4.94861243194119e-80,0.455170343910129,1,1,1.15347207176117e-75
"FHL1",6.74893438769696e-80,2.94166728289031,0.227,0.028,1.57310911642828e-75
"TOMM7",8.96927766466578e-80,0.77413544555298,0.958,0.886,2.09064893085695e-75
"ZNF608",1.58456558709164e-79,3.07061803718343,0.245,0.036,3.69346392695191e-75
"PAMR1",1.72421703181243e-79,3.11341403886265,0.225,0.027,4.0189774794516e-75
"LY6D",5.7019125864968e-79,-2.21938403922684,0.053,0.378,1.32905880478654e-74
"RPLP1",6.13582488813026e-79,0.494371690647958,1,0.999,1.43019942317428e-74
"PRKAR2A",1.12314203766563e-78,-2.60545629298792,0.133,0.466,2.61793177559482e-74
"CYGB",1.22989409553935e-78,5.10291263875249,0.165,0.008,2.86676014729267e-74
"KIF12",1.36601551694417e-78,2.01657687944248,0.416,0.13,3.18404556844516e-74
"FABP5",4.65940898348297e-78,-2.50460443081364,0.061,0.384,1.08606163996005e-73
"ITM2B",1.64280503162096e-77,-1.11779024854518,0.845,0.914,3.8292142482053e-73
"RPL31",1.79260363806791e-77,0.593592735642224,0.997,0.977,4.1783798199725e-73
"RPS23",2.30266091062799e-77,0.50360160095311,0.999,0.998,5.36727231658279e-73
"CYBRD1",4.08939206785863e-77,2.11964916503097,0.346,0.089,9.53196397097168e-73
"RPS3A",5.88066979932487e-77,0.570227820439541,1,0.999,1.37072532352463e-72
"RAB34",7.41525488331377e-77,1.18357449990381,0.698,0.361,1.72842176075161e-72
"MT-CO3",7.58360039576433e-76,-1.05689537838874,0.941,0.903,1.76766141624871e-71
"NENF",1.27209721007779e-75,1.56798377695791,0.599,0.309,2.96513138697033e-71
"RPL38",2.7675996550865e-75,0.663309237044718,0.99,0.986,6.45099803604112e-71
"RPS7",7.5891610492289e-75,0.666473755271402,1,0.998,1.76895754896476e-70
"DSG1",1.09752245062879e-74,-3.49168411611633,0.035,0.34,2.55821508017064e-70
