"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL41",1.26034370541221e-211,-2.3144047490385,0.955,1,2.687556917421e-207
"RPS26",6.06011506764777e-186,-2.10407581367641,0.877,0.998,1.29225893702521e-181
"RPL36",2.37459285828918e-162,-1.65477213642295,0.949,0.998,5.06358181101585e-158
"RPS28",1.48378376539376e-150,-1.30044712796162,0.955,1,3.16402050132566e-146
"BRI3",2.03817041945628e-143,-3.87239226275697,0.436,0.867,4.34619460244856e-139
"ATP5D",3.10982787636374e-141,-2.39078203528107,0.6,0.912,6.63139696355804e-137
"TCEB2",5.17741387315075e-139,-1.61584936286775,0.835,0.983,1.10403173431067e-134
"ATP5E",1.65987774761562e-135,-1.41039479510647,0.898,0.998,3.53952330901555e-131
"ATP5I",6.807402626528e-133,-2.3194775382768,0.744,0.949,1.45161053608083e-128
"RPS5",3.46569306025619e-130,-1.33426587241912,0.934,0.993,7.39024388169029e-126
"RPL35",8.05945755803371e-130,-1.19195247062958,0.919,0.997,1.71859872967511e-125
"RPS15",6.53420407396033e-129,-1.12656921015119,0.962,0.999,1.3933536767313e-124
"SDS",6.52901591342549e-127,6.02850939037395,0.519,0.023,1.39224735337885e-122
"CALD1",9.81171322316626e-126,2.25263188937829,0.881,0.418,2.09224972770797e-121
"POLR2J3",2.75476174679354e-124,3.38541343147299,0.824,0.247,5.87425394886254e-120
"UGT2B15",3.61158899969752e-122,3.83434478486767,0.562,0.041,7.701352382955e-118
"RPS29",2.95294351351568e-121,-1.42416523384979,0.884,0.996,6.29685674822083e-117
"CSTB",3.21271036864806e-120,-2.72950667357419,0.684,0.921,6.85078359010511e-116
"HRG",2.46626933583492e-119,5.84778683476481,0.511,0.032,5.25907273173438e-115
"LIPC",3.68752166958399e-119,5.58839962347651,0.489,0.018,7.8632712082209e-115
"RAC1",1.37841842048807e-117,-2.42357523375394,0.663,0.891,2.93933943984877e-113
"CP",2.3075580471459e-116,2.88121502830216,0.79,0.229,4.92063677973392e-112
"EPHX1",1.20217817173175e-115,2.82240958544081,0.737,0.186,2.56352473340078e-111
"SERPINC1",1.47307650001397e-113,4.80934946163027,0.517,0.041,3.14118832862978e-109
"HSP90AA1",2.94450090033471e-113,1.61234196051074,0.97,0.856,6.27885371987373e-109
"TFF2",5.03954339319744e-109,-1.49487352386956,0.047,0.69,1.07463223316542e-104
"CYP17A1",5.87929578751774e-109,7.60903634898392,0.419,0.004,1.25370103373028e-104
"COX7A2",1.20171734553218e-108,-1.83083109805332,0.758,0.92,2.56254206761282e-104
"ALDOB",1.05241480761011e-107,5.45253023006574,0.508,0.051,2.24416933574781e-103
"TAT",9.97668356268451e-107,5.47561294408685,0.468,0.029,2.12742800290685e-102
"LINC01485",3.16280363754048e-106,6.78554304271214,0.434,0.014,6.74436247669133e-102
"RPL28",3.28453794837371e-106,-1.1867832501742,0.962,0.997,7.00394872111211e-102
"UQCR11",7.01171006913441e-106,-1.50259510485522,0.818,0.96,1.49517705514222e-101
"ACSM2A",1.26064078746098e-105,5.44997744226273,0.456,0.025,2.6881904151818e-101
"RPS15A",3.68886960696345e-105,-1.48013416099213,0.962,0.995,7.86614554988887e-101
"C4BPA",2.07377245046279e-104,2.47136091937607,0.627,0.095,4.42211237336685e-100
"SEC61G",5.91779626244367e-104,-1.53726234945885,0.814,0.969,1.26191087500349e-99
"TMEM176B",3.829696224161e-102,2.07055113433822,0.835,0.335,8.16644422840091e-98
"VIM",4.72491714667539e-102,4.01490812332054,0.576,0.087,1.00754133235706e-97
"C3",1.11376458799196e-101,1.64123490433426,0.934,0.55,2.37499160743404e-97
"SLC17A4",1.00058106605333e-100,4.63375390605303,0.456,0.029,2.13363906525212e-96
"RPL12",1.27192888319111e-100,-1.24962695691042,0.939,0.992,2.71226115051673e-96
"ITIH1",1.73314228716076e-100,4.05140853821107,0.504,0.053,3.6957526131416e-96
"FGA",2.32115826337008e-100,2.74206186455309,0.773,0.318,4.94963788081035e-96
"POLR2L",3.19052717841802e-99,-1.46143573185871,0.797,0.953,6.80348015525858e-95
"ANGPTL3",1.28720780742652e-98,3.70362000173448,0.472,0.035,2.7448419285563e-94
"MALAT1",2.11437514478525e-97,1.85827627577479,0.998,0.969,4.50869355874006e-93
