"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PFN1",9.94401366477389e-161,1.46896566368097,0.989,0.92,2.35533907663834e-156
"MT2A",2.96020013820005e-156,-3.23908779715509,0.708,0.913,7.01153004734065e-152
"SERPINE2",1.74665649280396e-154,-2.68855061138808,0.661,0.93,4.13713056885546e-150
"S100A6",1.5479783546368e-146,-2.68244401512496,0.704,0.935,3.66654153079272e-142
"MIA",2.11037982594149e-142,-3.64920879747948,0.371,0.817,4.99864565572501e-138
"CTSB",4.64432659384279e-142,-2.9707246322154,0.964,0.971,1.1000551970176e-137
"EMP1",9.59320385077665e-140,-4.57661344420581,0.179,0.702,2.27224626409496e-135
"SERPINF1",1.54454375125917e-129,2.75707220717087,0.722,0.208,3.65840632923246e-125
"ANXA1",2.03070998512325e-122,-1.83072945705785,0.212,0.769,4.80993967076293e-118
"TSC22D3",2.81405614234023e-119,-3.00717168249401,0.291,0.74,6.66537337874706e-115
"TM4SF1",1.05208064819653e-117,-5.91840730543554,0.04,0.529,2.4919582233183e-113
"ATP1A1",2.76548481518205e-111,-1.8998432312307,0.767,0.92,6.5503273332402e-107
"CD59",7.47093424794592e-111,-1.61907218744797,0.787,0.929,1.76956548596847e-106
"CDH19",9.72461547148024e-108,-3.59085244579625,0.328,0.717,2.30337242057481e-103
"EIF4A1",1.04858361064217e-107,1.13951122665875,0.982,0.9,2.48367514016703e-103
"MAGEA4",2.0481143863955e-107,3.48433383872266,0.538,0.106,4.85116373561638e-103
"RPS24",1.90353504153168e-104,1.40633512766185,0.99,0.977,4.50871309937193e-100
"C17orf76-AS1",3.41592598692312e-104,1.4264994140488,0.979,0.928,8.09096229262611e-100
"C1QBP",6.40673499111124e-104,1.61382361218207,0.905,0.613,1.51749924999461e-99
"RPS19",2.33347819613024e-103,0.829908102141921,0.995,0.972,5.52707645535409e-99
"RPLP0",3.60248312569915e-100,1.10402771537717,0.998,0.997,8.53284153153101e-96
"IGF2BP1",4.1027851584365e-100,4.43565771139996,0.384,0.023,9.71785692627269e-96
"SERPINA3",5.48509627493468e-99,-2.75176441363927,0.085,0.544,1.29919990368103e-94
"APOC2",8.37171794258459e-99,-3.85473257024529,0.055,0.498,1.98292511188059e-94
"TP53",4.03287370005963e-97,2.26730649157374,0.742,0.312,9.55226464596123e-93
"ITGA3",1.25320436621154e-95,-4.30994258258516,0.108,0.536,2.96833986180865e-91
"A2M",2.02834975807528e-95,-3.1249498746267,0.355,0.736,4.80434923697712e-91
"RPL13AP5",6.4627725626908e-95,0.934608698946349,0.993,0.949,1.53077230919894e-90
"PTP4A3",9.09549043677206e-95,1.83705915414004,0.512,0.084,2.15435786485383e-90
"RPL28",4.41139503064557e-93,0.977550931278268,0.994,0.975,1.04488302695871e-88
"RPS7",3.27395248250185e-92,0.930219282242296,0.993,0.982,7.75468385005388e-88
"PABPC1",3.39083800640111e-90,0.964481294418613,0.995,0.988,8.03153890196166e-86
"RPL18",7.74154586095754e-89,1.03929914999911,0.972,0.947,1.8336625526264e-84
"AHNAK",9.18565443415549e-88,-2.34196147225003,0.448,0.774,2.17571410927407e-83
"CTSD",9.52264155119781e-88,-1.92972490094766,0.821,0.932,2.25553287781671e-83
"RPL6",1.30196331385829e-86,1.05423323752751,0.993,0.992,3.08383030520475e-82
"UBC",1.74657898602285e-84,-1.19329141660148,0.977,0.987,4.13694698629373e-80
"CST3",2.82446140675367e-84,-2.03789387241572,0.701,0.861,6.69001928803675e-80
"RPS5",4.16229492835357e-84,1.05704228595855,0.989,0.961,9.85881176729827e-80
"SLC5A3",9.8350496381076e-84,-3.49233768144889,0.302,0.652,2.32952985728217e-79
"NSG1",2.82008595312003e-82,-2.19283829211783,0.411,0.719,6.67965558856011e-78
"MID1",5.75155957198998e-82,2.90824525670309,0.447,0.084,1.36231440022155e-77
"GABARAP",1.28282033649951e-81,1.06786514168524,0.947,0.87,3.03848824903273e-77
"CSPG4",3.05015536373043e-80,-2.03606591178659,0.434,0.774,7.2245979945319e-76
"KIF17",3.08304184226423e-80,1.57174594115482,0.444,0.075,7.30249290758705e-76
"HLA-C",8.92312535846794e-80,-1.91260267744589,0.804,0.889,2.11353147240672e-75
"CRYAB",1.88706722739694e-79,-2.07094473681684,0.245,0.661,4.4697074348124e-75
"CAV1",7.9268133046602e-79,-1.53273457288283,0.468,0.808,1.87754499934182e-74
"RPL41",1.07635035989746e-78,0.835249522141295,1,1,2.54944346245313e-74
"LGALS3",2.52075025805872e-78,-1.42217157870921,0.499,0.865,5.97064906123789e-74
"MFGE8",2.87318660623647e-78,-2.09655963263029,0.673,0.855,6.80542979553169e-74
"RPS27",2.97654876986768e-78,1.00710512427103,0.995,0.996,7.0502534163086e-74
"RPS16",4.4680532284357e-78,0.829075001305295,0.989,0.98,1.05830308768728e-73
